paper_id,cited_by_count
W2561296568,35
W2983032163,33
W2888775310,32
W4296713955,32
W2251752871,31
W2970016216,31
W2395423607,29
W2585253991,27
W2765429991,27
W2924135799,27
W4287855085,26
W2740540575,23
W2994713733,22
W3015449890,21
W3170826848,21
W3174428931,18
W2739709371,17
W4226204153,17
W4287887656,17
W2970350231,16
W4287889593,16
W4297459110,16
W4285263440,12
W2621262511,9
W2970712718,20
W3204165160,18
W3101226838,16
W2181677738,15
W2963625579,15
W3046034404,15
W2964065120,14
W3167335398,14
W2741021341,13
W2950997402,13
W2590654071,12
W2805861540,11
W2611715906,10
W3199438654,10
W2896806675,16
W973577941,13
W2063991286,5
W3142111591,3
W2294178268,8
W2916343973,2
W1996740752,5
W2248999523,2
W1488031086,1
W2166361783,1
W2884175796,0
W4320167155,0
W4285209661,10
W4385573320,10
W2804750658,9
W3022822895,9
W2252037542,8
W4285244630,8
W4285118702,6
W4287888092,5
W4229014478,1
W3034508791,12
W2562053465,9
W2753398138,9
W3171654275,8
W3178064270,7
W2604703149,6
W3090805418,6
W4307478024,6
W3093392176,4
W4302403701,4
W3003689215,3
W3168975918,3
W2564287196,9
W2725686455,6
W2803936041,6
W2952868992,6
W2293346268,5
W2927851123,4
W2971802893,4
W3021708827,4
W3204890648,4
W4307320043,4
W2295625793,3
W2962970245,3
W3175923223,3
W4312091828,2
W4385574053,2
W3101355502,4
W3092154909,3
W3158913126,3
W2928436029,2
W3126184680,1
W4283019930,1
W3166522443,3
W2751509111,2
W3087077382,2
W3196649867,2
W3204669235,2
W4225690441,2
W4228999250,2
W4385574255,2
W2826525850,1
W2902742944,1
W3021034694,1
W3091143131,1
W3092473124,1
W3154048851,1
W3158760029,1
W3203324590,1
W4306892733,1
W4385573283,1
W4385574143,1
W3022130152,1
W3082325607,1
W3192167413,1
W2807188009,96
W2952332047,56
W2949505205,37
W4225595179,23
W2890605385,18
W3110570034,18
W2807995432,16
W2949682057,10
W4295237228,9
W2944528576,7
W2971904186,6
W4285128742,6
W2799146821,5
W2925723586,5
W4310998926,5
W4388584760,5
W2510713142,4
W2944862027,4
W2952962875,4
W2971886545,4
W4297889348,4
W4310286415,4
W2951442135,3
W2952382105,3
W2952936685,3
W4226120401,3
W4288120920,3
W4289754003,3
W2949418473,2
W4226197693,2
W4226332779,2
W4281642786,2
W4300828021,2
W2949589283,1
W2949875992,1
W2951132099,1
W2416330873,117
W2610214088,84
W2405094254,65
W4225098831,56
W2611692589,48
W4283755527,43
W3039218294,47
W2468925839,44
W3122979956,31
W3128600078,29
W3107441281,26
W4225286352,23
W4225162736,22
W4285333168,20
W3136594998,5
W2033647449,20
W2471390164,20
W2951821156,1
W2951890879,1
W3128531951,1
W3171594500,1
W3199039080,1
W3207167006,1
W3212830866,1
W4226241819,1
W4296972654,1
W4306309364,1
W4307478014,1
W4309957088,1
W2724695717,0
W2775910975,0
W2902771431,0
W2943033905,0
W2949548978,0
W2950773211,0
W2951412882,0
W2951828463,0
W2952223707,0
W2952671313,0
W2969985130,0
W2982363872,0
W2984562636,0
W3020923013,0
W3021540128,0
W3032850262,0
W3036448453,0
W3037503968,0
W3041559793,0
W3092516233,0
W3102612195,0
W3132988431,0
W3133666409,0
W3152683207,0
W3163441716,0
W3165051279,0
W3166595320,0
W3168177482,0
W3169349744,0
W3170286980,0
W3170836437,0
W3171476517,0
W3173667540,0
W3188354133,0
W3199394443,0
W3199410446,0
W3201734864,0
W3203334997,0
W3212055224,0
W3212699349,0
W4224912552,0
W4226496252,0
W4280545974,0
W4280634299,0
W4284700434,0
W4287127056,0
W4287200865,0
W4287585490,0
W4287643994,0
W4287754285,0
W4287786019,0
W4287793069,0
W4287899222,0
W4288113189,0
W4288332996,0
W4297426410,0
W4297623753,0
W4297756393,0
W4297834568,0
W4302315388,0
W4304700949,0
W4306672082,0
W4307477957,0
W4309048773,0
W4309135080,0
W4311862955,0
W4317464838,0
W4393451564,0
W4393523076,0
W4393634321,0
W4393657578,0
W2969625533,3885
W2767327746,1250
W3025096376,773
W3101556949,583
W2810869501,429
W2912834942,350
W3023101591,295
W2951256062,256
W3014300016,254
W3191040404,216
W2988946950,101
W2887461774,100
W2905101614,93
W3207751643,90
W2903474771,84
W1970158574,81
W1995623980,74
W2896716072,71
W3084419772,59
W4225727405,51
W1601772810,48
W3165224198,47
W4282928830,35
W2082985976,102
W2017395654,83
W2033989022,74
W2947005408,60
W4300093098,60
W2752695596,54
W2762288925,47
W2010166572,40
W3179731056,36
W2899860820,33
W2121875923,31
W3112976274,28
W3042521552,27
W2897157007,26
W3183330390,26
W2751725317,25
W3205559154,25
W4303648897,22
W4241303000,18
W2852293942,25
W3127675867,19
W2978075000,18
W2059180079,13
W3151930217,12
W3170865733,12
W3201576484,11
W3203077930,10
W4254907584,10
W2888545162,9
W3136511105,8
W4285333430,5
W2083205205,15
W2565896781,10
W2919440351,10
W2173563791,9
W3192551254,8
W2777083756,7
W4281397084,6
W4361748621,3
W2891629177,6
W2295081630,5
W2346339322,5
W2470944363,5
W2757227709,5
W3209740536,5
W3049166835,3
W2905822318,4
W2735463206,2
W2779832415,3
W3195901577,3
W2289451308,2
W2015189799,1
W4413546750,1
W3097615858,1
W2591936458,30
W4206308719,3
W2345533436,2
W3216953451,2
W4232620058,1
W1855872366,0
W2285966296,0
W2419200184,0
W2610362894,0
W2625253461,0
W2776879204,0
W2891647875,0
W2910651773,0
W2949518612,0
W2988257107,0
W3012673993,0
W3190456832,0
W3195269648,0
W3196584845,0
W4388480058,0
W4413516696,0
W4413648843,0
W4413696124,0
W2611579020,294
W3028909176,154
W2610505880,140
W2795888186,129
W4221029209,109
W2532372538,104
W2796436645,102
W2079796873,98
W4319837288,91
W3029469337,90
W3174126115,86
W4220727669,82
W2943052618,80
W2942474547,77
W2536605168,76
W2908716997,70
W3032430574,69
W4225082678,68
W3162840786,61
W4224989434,61
W2588775374,55
W3186528450,44
W4225120364,36
W3173709536,14
W1992291215,73
W2399477691,71
W1969350878,54
W4200027765,49
W2624839785,48
W3093727106,43
W2604332898,41
W2076463985,39
W2778244123,38
W2973459083,37
W2798334115,31
W3163045446,31
W3096125881,29
W2102311709,28
W2807987222,26
